epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.87196,0.98733,10.616,0.34169,0,0,0,0,1.68142,12.8629,0.53479,0.00015003,0.00015003,0.00015003
2,15.4616,3.73713,10.7527,1.02067,0,0,0,0,4.39928,8.58725,1.15718,0.000310459,0.000310459,0.000310459
3,22.7062,4.87612,7.99004,1.21746,0,0,0,0,5.02091,6.79809,1.13943,0.000464286,0.000464286,0.000464286
4,30.0625,4.43476,6.23709,1.13562,0,0,0,0,4.86136,6.49429,1.10342,0.000611512,0.000611512,0.000611512
5,37.2598,4.78815,6.66346,1.13029,0.00048,0.075,0.00046,0.00011,5.50672,8.05766,1.31315,0.000752137,0.000752137,0.000752137
6,44.4759,4.27619,5.97837,1.10673,0.00067,0.1,0.00078,0.00019,5.70004,7.8286,1.33474,0.000886161,0.000886161,0.000886161
7,51.8687,4.31035,6.22113,1.05163,0.00066,0.1,0.00074,0.00011,5.5419,7.0213,1.29431,0.00101358,0.00101358,0.00101358
8,59.0555,4.42205,5.55865,1.10719,0.00061,0.1,0.00037,6e-05,4.61449,6.09702,1.09203,0.0011344,0.0011344,0.0011344
9,66.1684,4.39333,5.23364,1.07137,0.0003,0.05,0.00026,6e-05,4.43948,5.82149,1.09681,0.00124862,0.00124862,0.00124862
10,73.2613,4.57845,6.12588,1.06726,0.00046,0.075,0.00029,9e-05,4.56226,5.55059,1.0742,0.00135624,0.00135624,0.00135624
11,80.4032,4.42349,5.05296,1.06567,0.00083,0.125,0.00075,0.00021,4.43641,5.12651,1.04516,0.00133693,0.00133693,0.00133693
12,87.6612,4.27102,5.15578,1.04025,0.001,0.15,0.00107,0.00044,4.47718,4.91433,1.05521,0.00130393,0.00130393,0.00130393
13,94.7344,4.02159,5.35586,1.07269,0.00117,0.175,0.0037,0.00085,4.58265,4.83025,1.06026,0.00127092,0.00127092,0.00127092
14,102.01,4.39116,5.18406,1.04612,0.00184,0.275,0.00446,0.00113,4.33595,5.07151,1.09531,0.00123791,0.00123791,0.00123791
15,109.284,4.10407,4.7755,1.03447,0.00219,0.325,0.01757,0.00241,4.36407,5.01892,1.11183,0.00120491,0.00120491,0.00120491
16,116.407,4.05869,4.88008,1.01565,0.00216,0.325,0.00631,0.0018,4.42488,5.02819,1.126,0.0011719,0.0011719,0.0011719
17,123.675,4.29841,4.88653,1.00784,0.00926,0.1,0.00653,0.0013,4.5993,5.08957,1.12125,0.00113889,0.00113889,0.00113889
