epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
18,130.803,4.3531,4.91365,1.0471,0.00097,0.15,0.00185,0.00031,4.762,5.13476,1.19747,0.00110589,0.00110589,0.00110589
19,137.837,4.03454,4.74957,1.0497,0.00097,0.15,0.00185,0.00031,5.17568,5.05673,1.26819,0.00107288,0.00107288,0.00107288
20,145.1,4.26063,4.75726,1.04038,0.00097,0.15,0.00185,0.00031,5.22539,4.81542,1.25723,0.00103987,0.00103987,0.00103987
21,152.198,4.33767,4.99144,1.04558,0.0002,0.025,0.00112,0.00011,4.93526,4.51416,1.18912,0.00100687,0.00100687,0.00100687
22,159.486,4.13813,4.66713,1.01904,0.00084,0.125,0.00077,0.00017,4.62618,4.42437,1.13732,0.000973861,0.000973861,0.000973861
23,166.6,4.07909,4.22328,1.03453,0.00112,0.175,0.00128,0.00032,4.56444,4.45964,1.13085,0.000940855,0.000940855,0.000940855
24,173.875,4.38574,4.61318,1.03343,0.00161,0.25,0.00295,0.00065,4.51712,4.33162,1.11214,0.000907848,0.000907848,0.000907848
25,181.013,3.91662,4.65574,1.01021,0.00181,0.275,0.00254,0.00057,4.5891,4.33389,1.09001,0.000874842,0.000874842,0.000874842
26,188.103,4.26349,4.5161,1.0095,0.00015,0.025,0.00034,7e-05,4.96427,4.64494,1.06686,0.000841835,0.000841835,0.000841835
27,195.415,3.90637,4.30462,0.99616,0.00046,0.075,0.02391,0.00475,4.92957,4.60783,1.05939,0.000808828,0.000808828,0.000808828
28,202.666,3.89832,4.29976,1.0059,0.52686,0.075,0.03141,0.00913,4.7744,4.52763,1.0539,0.000775822,0.000775822,0.000775822
29,209.803,4.07282,4.20349,1.03028,0.57333,0.025,0.02755,0.013,4.60779,4.42167,1.05094,0.000742815,0.000742815,0.000742815
30,217.241,4.17268,4.48597,1.00313,0.53114,0.05,0.01641,0.00847,4.52948,4.27197,1.05368,0.000709809,0.000709809,0.000709809
31,224.406,4.07799,4.38223,1.02372,0.0184,0.075,0.00734,0.00236,4.52314,4.20653,1.05317,0.000676802,0.000676802,0.000676802
32,231.703,4.16537,4.55406,1.0177,0.52132,0.05,0.00961,0.00292,4.51671,4.09311,1.04951,0.000643795,0.000643795,0.000643795
33,238.93,4.02203,4.18729,1.01756,0.00173,0.25,0.00927,0.00229,4.49716,3.9911,1.05067,0.000610789,0.000610789,0.000610789
34,246.183,4.11991,4.14499,1.01538,0.00189,0.275,0.01103,0.00265,4.45839,3.8768,1.04716,0.000577782,0.000577782,0.000577782
35,253.287,4.17367,4.23152,1.03943,0.00176,0.25,0.01014,0.00284,4.436,3.85427,1.0393,0.000544776,0.000544776,0.000544776
36,260.479,4.0109,4.24942,1.01019,0.00144,0.2,0.00714,0.00286,4.38375,3.87099,1.02887,0.000511769,0.000511769,0.000511769
37,267.68,3.98326,4.12702,1.01186,0.00163,0.225,0.00915,0.0032,4.39116,3.89947,1.02291,0.000478762,0.000478762,0.000478762
38,274.894,4.28758,4.40286,1.02023,0.0016,0.225,0.0138,0.00437,4.33321,3.88037,1.02251,0.000445756,0.000445756,0.000445756
39,281.963,4.05236,4.11752,1.01632,0.00157,0.225,0.01726,0.00486,4.32788,3.8997,1.02257,0.000412749,0.000412749,0.000412749
40,289.327,4.26246,4.23264,1.00938,0.00156,0.225,0.02493,0.00597,4.3404,3.87373,1.02525,0.000379743,0.000379743,0.000379743
41,296.468,4.20761,5.07456,1.03424,0.0677,0.125,0.04907,0.00796,4.37184,3.84443,1.03041,0.000346736,0.000346736,0.000346736
42,303.68,3.72049,4.16475,1.02767,0.58118,0.05,0.04609,0.00698,4.42265,3.75365,1.03916,0.000313729,0.000313729,0.000313729
43,310.755,4.03257,4.67548,1.05509,0.54874,0.05,0.03817,0.00665,4.4697,3.75105,1.04676,0.000280723,0.000280723,0.000280723
44,317.872,3.90041,4.35048,1.01619,0.5353,0.025,0.01669,0.00453,4.49286,3.77107,1.0519,0.000247716,0.000247716,0.000247716
45,325.003,3.9323,4.24217,1.01031,0.53752,0.025,0.01452,0.00389,4.5257,3.80248,1.05576,0.00021471,0.00021471,0.00021471
46,332.089,3.79119,4.15574,1.01078,0.56787,0.025,0.03146,0.01014,4.581,3.88737,1.05803,0.000181703,0.000181703,0.000181703
47,339.286,3.89936,4.31867,1.0184,0.56378,0.025,0.03263,0.01025,4.58897,3.92242,1.05583,0.000148696,0.000148696,0.000148696
48,346.401,4.00418,4.45771,0.99974,0.56605,0.025,0.03283,0.01043,4.58421,3.93517,1.05338,0.00011569,0.00011569,0.00011569
49,353.511,3.98714,4.6839,0.99613,0.57155,0.025,0.03255,0.01039,4.57683,3.93655,1.05235,8.26832e-05,8.26832e-05,8.26832e-05
50,360.672,4.24284,4.68063,1.01394,0.57031,0.025,0.03262,0.01036,4.57545,3.93122,1.0541,4.96766e-05,4.96766e-05,4.96766e-05
