epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.74335,0.98733,10.616,0.34169,0,0,0,0,1.68142,12.8629,0.53479,0.00015003,0.00015003,0.00015003
2,15.2282,3.72343,10.7714,1.01827,0,0,0,0,4.38487,8.54222,1.15839,0.000306278,0.000306278,0.000306278
3,22.4789,4.90041,8.06931,1.22512,0,0,0,0,5.13933,6.91992,1.16146,0.000451524,0.000451524,0.000451524
4,32.2818,4.468,6.2997,1.14338,0,0,0,0,4.7162,6.42139,1.06862,0.000585767,0.000585767,0.000585767
5,40.0438,4.84161,6.75237,1.13953,0.00016,0.025,8e-05,1e-05,4.8377,6.53796,1.13127,0.000709008,0.000709008,0.000709008
6,47.3585,4.31152,5.94339,1.11505,0.0005,0.075,0.00034,4e-05,5.11736,6.51197,1.14907,0.000821248,0.000821248,0.000821248
7,54.6078,4.33883,6.15391,1.06944,0.00083,0.125,0.00119,0.00022,5.07168,6.31331,1.17601,0.000922484,0.000922484,0.000922484
8,61.799,4.44527,5.52367,1.10729,0.00049,0.075,0.00042,5e-05,4.76272,5.89119,1.09536,0.00101272,0.00101272,0.00101272
9,68.9374,4.31187,5.18298,1.0712,0.00047,0.075,0.0003,4e-05,4.57765,5.75639,1.06853,0.00109195,0.00109195,0.00109195
10,76.1235,4.59003,6.16604,1.08538,0.00019,0.025,0.0001,3e-05,4.29376,5.68575,1.05595,0.00116018,0.00116018,0.00116018
11,83.287,4.42418,4.97166,1.07278,0.00038,0.05,0.00031,9e-05,4.19923,5.56386,1.04916,0.00111689,0.00111689,0.00111689
12,90.4929,4.34929,5.1237,1.05132,0.00073,0.1,0.00047,0.00022,4.27524,5.34518,1.04518,0.00106188,0.00106188,0.00106188
13,98.1021,4.08444,5.42798,1.07035,0.00088,0.125,0.00068,0.00031,4.53019,5.29671,1.07429,0.00100687,0.00100687,0.00100687
14,106.555,4.36646,5.2438,1.04341,0.00137,0.2,0.0081,0.00142,4.95137,5.42574,1.10429,0.000951857,0.000951857,0.000951857
15,114.724,4.14288,4.75163,1.03077,0.00133,0.2,0.00945,0.00165,4.83562,5.24193,1.08985,0.000896846,0.000896846,0.000896846
16,122.761,4.13923,4.82523,1.01463,0.0015,0.225,0.01565,0.00189,4.79649,5.08747,1.08105,0.000841835,0.000841835,0.000841835
17,130.091,4.45002,4.88206,1.00754,0.00119,0.175,0.00232,0.00048,4.80606,4.97354,1.07478,0.000786824,0.000786824,0.000786824
18,137.332,4.47613,5.08192,1.04283,0.00136,0.2,0.00335,0.00074,4.60109,4.72177,1.06618,0.000731813,0.000731813,0.000731813
19,144.374,4.06511,4.8396,1.03161,0.00131,0.2,0.0062,0.00119,4.52887,4.51135,1.07003,0.000676802,0.000676802,0.000676802
20,151.629,4.32506,4.82919,1.0394,0.00151,0.225,0.00562,0.00135,4.48182,4.40221,1.08035,0.000621791,0.000621791,0.000621791
21,158.77,4.30872,5.57788,1.04692,0.00165,0.25,0.00734,0.00146,4.53194,4.43749,1.10042,0.00056678,0.00056678,0.00056678
22,166.721,4.36157,6.23932,1.05887,0.00135,0.2,0.00173,0.00057,4.50085,4.62318,1.0889,0.000511769,0.000511769,0.000511769
23,174.413,4.30104,5.75603,1.05049,0.00135,0.2,0.00186,0.00063,4.4471,4.63612,1.06709,0.000456758,0.000456758,0.000456758
24,181.842,4.22822,5.30179,1.05341,0.00131,0.2,0.00194,0.00061,4.38845,4.56983,1.04305,0.000401747,0.000401747,0.000401747
25,189.405,4.04029,5.85842,1.02117,0.00112,0.175,0.00252,0.00065,4.41926,4.51331,1.02956,0.000346736,0.000346736,0.000346736
26,196.95,3.91452,5.33125,1.03263,0.00131,0.2,0.00631,0.00166,4.38946,4.40126,1.01747,0.000291725,0.000291725,0.000291725
27,204.574,3.95624,5.1962,1.03379,0.00131,0.2,0.00817,0.00256,4.37559,4.35916,1.01714,0.000236714,0.000236714,0.000236714
28,212.104,4.01341,5.24506,1.01572,0.00659,0.075,0.00904,0.00281,4.37279,4.33767,1.01751,0.000181703,0.000181703,0.000181703
29,219.669,4.06887,5.20399,1.03583,0.01276,0.075,0.01106,0.00313,4.38153,4.33585,1.01896,0.000126692,0.000126692,0.000126692
30,227.696,4.11466,5.5496,1.00981,0.0171,0.075,0.01101,0.0039,4.39671,4.32545,1.02601,7.1681e-05,7.1681e-05,7.1681e-05
